HTTP/1.1 200 OK
Content-Type: application/json;charset=utf-8
Content-Length: 523475
Connection: Keep-Alive

[01-20 00:00:20.071] [info] [3974199] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:59750,curTimestamp: 1768867220engine: mysql,obPid: 3758219328,dmSysPath: 
[01-20 00:00:50.106] [info] [3974211] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:59780,curTimestamp: 1768867250engine: mysql,obPid: 3422832672,dmSysPath: 
[01-20 00:01:20.123] [info] [3974208] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:59810,curTimestamp: 1768867280engine: mysql,obPid: 3758228912,dmSysPath: 
[01-20 00:01:50.138] [info] [3974216] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:59840,curTimestamp: 1768867310engine: mysql,obPid: 402688720,dmSysPath: 
[01-20 00:02:20.153] [info] [3974218] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:59870,curTimestamp: 1768867340engine: mysql,obPid: 402796576,dmSysPath: 
[01-20 00:02:50.167] [info] [3974218] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:59900,curTimestamp: 1768867370engine: mysql,obPid: 738203664,dmSysPath: 
[01-20 00:03:20.185] [info] [3974208] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:59930,curTimestamp: 1768867400engine: mysql,obPid: 738702016,dmSysPath: 
[01-20 00:03:50.208] [info] [3974218] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:59960,curTimestamp: 1768867430engine: mysql,obPid: 3154535696,dmSysPath: 
[01-20 00:04:20.223] [info] [3974213] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:59990,curTimestamp: 1768867460engine: mysql,obPid: 939966528,dmSysPath: 
[01-20 00:04:50.241] [info] [3974204] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60020,curTimestamp: 1768867490engine: mysql,obPid: 3019905776,dmSysPath: 
[01-20 00:05:20.256] [info] [3974217] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60050,curTimestamp: 1768867520engine: mysql,obPid: 3423142160,dmSysPath: 
[01-20 00:05:50.270] [info] [3974214] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60080,curTimestamp: 1768867550engine: mysql,obPid: 469803216,dmSysPath: 
[01-20 00:06:20.300] [info] [3974200] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60110,curTimestamp: 1768867580engine: mysql,obPid: 3422644592,dmSysPath: 
[01-20 00:06:50.316] [info] [3974208] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60140,curTimestamp: 1768867610engine: mysql,obPid: 3423078640,dmSysPath: 
[01-20 00:07:20.331] [info] [3974202] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60170,curTimestamp: 1768867640engine: mysql,obPid: 3490263776,dmSysPath: 
[01-20 00:07:50.344] [info] [3974218] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60200,curTimestamp: 1768867670engine: mysql,obPid: 3020299568,dmSysPath: 
[01-20 00:08:20.359] [info] [3974215] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60230,curTimestamp: 1768867700engine: mysql,obPid: 402848752,dmSysPath: 
[01-20 00:08:50.373] [info] [3974207] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60260,curTimestamp: 1768867730engine: mysql,obPid: 3422667440,dmSysPath: 
[01-20 00:09:20.401] [info] [3974211] handle_post_instance_bind_pid,req: instanceName: mysql-0ur82dsp, instanceId: 1, uuid: 11f414cc-f4da-11f0-98b6-020000943931, database: ai_agent, pid: 5303058, enableBPF: 1, dbVersion: 8.0.20, uptime:60290,curTimestamp: 1768867760engine: mysql,obPid: 604076912,dmSysPath: 
